exp_name,motor_delta_hz,motor_neurons_affected,motor_neurons_inhibited,motor_neurons_disinhibited,strongest_effect,cell_class,n_silenced
cc_ALLN,-29.8,17,12,5,-5.800000000000011,ALLN,306
cc_ALPN,-32.40000000000002,17,12,5,-9.800000000000011,ALPN,563
cc_AN,-142.60000000000005,22,22,0,-11.799999999999997,AN,2078
cc_CX,-15.400000000000023,19,14,5,-5.0,CX,2531
cc_DAN,-17.800000000000015,15,10,5,-6.0,DAN,298
cc_Kenyon_Cell,-9.400000000000027,19,12,7,-3.200000000000003,Kenyon_Cell,5095
cc_LA>ME,-25.00000000000002,17,15,2,-5.200000000000003,LA>ME,4370
cc_LHCENT,-1.0000000000000107,20,9,11,-6.800000000000011,LHCENT,29
cc_LHLN,-31.800000000000026,19,13,6,-5.6000000000000085,LHLN,484
cc_LO,20.999999999999975,17,3,14,-1.4000000000000057,LO,1106
cc_LO>LOP,-12.600000000000051,18,14,4,-3.6000000000000085,LO>LOP,5567
cc_LO>ME,-5.200000000000028,18,9,9,-4.0,LO>ME,129
cc_LOP,3.79999999999999,15,7,8,-3.0,LOP,491
cc_LOP>LO,-26.800000000000026,19,16,3,-6.0,LOP>LO,486
cc_LOP>LO.ME,-70.20000000000002,21,17,4,-12.400000000000006,LOP>LO.ME,182
cc_LOP>ME.LO,-9.400000000000016,15,9,6,-3.0000000000000036,LOP>ME.LO,900
cc_MBON,-25.60000000000004,20,15,5,-7.800000000000011,MBON,83
cc_ME,-34.2,16,11,5,-8.0,ME,13890
cc_ME.LO,-27.600000000000023,19,12,7,-6.0,ME.LO,37
cc_ME.LO.LOP,-16.40000000000002,18,9,9,-8.799999999999997,ME.LO.LOP,28
cc_ME>LA,-17.800000000000015,16,13,3,-4.200000000000003,ME>LA,3060
cc_ME>LO,-79.20000000000002,19,14,5,-15.800000000000011,ME>LO,18637
cc_ME>LO.LOP,-18.400000000000013,18,14,4,-6.800000000000011,ME>LO.LOP,4446
cc_ME>LOP,-44.600000000000016,19,12,7,-11.0,ME>LOP,5716
cc_ME>LOP.LO,-16.40000000000003,19,10,9,-8.800000000000011,ME>LOP.LO,223
cc_TuBu,-21.399999999999995,18,13,5,-4.400000000000006,TuBu,136
cc_bilateral,-5.399999999999995,14,8,6,-2.5999999999999943,bilateral,96
